id,external_id,name,category,subcategory,article_type,gender,base_color,season,usage,image_url,tags,price_range,style_score,brand,price,year
24,24,Puma A-Line Dress 24,Dress,A-Line Dress,A-Line Dress,Men,Red,Fall,Casual,https://images.pexels.com/photos/1000023/pexels-photo-1000023.jpeg?auto=compress&cs=tinysrgb&w=400,"['bright', 'a-line dress', 'fall', 'casual', 'warm', 'red', 'dress']",mid,0.71,Puma,64.99116206424122,2020
25,25,H&M Sunglasses 25,Accessories,Sunglasses,Sunglasses,Unisex,Pink,All,Ethnic,https://images.pexels.com/photos/1000024/pexels-photo-1000024.jpeg?auto=compress&cs=tinysrgb&w=400,"['accessories', 'feminine', 'pink', 'sunglasses', 'warm', 'all', 'ethnic']",high,0.85,H&M,154.5385163857182,2024
26,26,Zara Maxi Dress 26,Dress,Maxi Dress,Maxi Dress,Women,Black,Fall,Formal,https://images.pexels.com/photos/1000025/pexels-photo-1000025.jpeg?auto=compress&cs=tinysrgb&w=400,"['dark', 'neutral', 'formal', 'fall', 'black', 'maxi dress', 'dress']",low,0.89,Zara,41.42580929654885,2021
27,27,Nike Blouses 27,Topwear,Blouses,Blouses,Women,Teal,Fall,Party,https://images.pexels.com/photos/1000026/pexels-photo-1000026.jpeg?auto=compress&cs=tinysrgb&w=400,"['teal', 'blouses', 'fall', 'topwear', 'party']",mid,0.66,Nike,124.74294481044511,2021
28,28,Adidas Culottes 28,Bottomwear,Culottes,Culottes,Men,Black,Fall,Casual,https://images.pexels.com/photos/1000027/pexels-photo-1000027.jpeg?auto=compress&cs=tinysrgb&w=400,"['dark', 'neutral', 'bottomwear', 'fall', 'casual', 'black', 'culottes']",high,0.85,Adidas,152.033177035323,2022
29,29,Uniqlo Pajamas 29,Loungewear,Pajamas,Pajamas,Women,Yellow,Summer,Sports,https://images.pexels.com/photos/1000028/pexels-photo-1000028.jpeg?auto=compress&cs=tinysrgb&w=400,"['pajamas', 'yellow', 'sports', 'summer', 'loungewear']",mid,0.75,Uniqlo,78.94960920812633,2023
30,30,Forever 21 Trousers 30,Bottomwear,Trousers,Trousers,Unisex,Blue,Winter,Travel,https://images.pexels.com/photos/1000029/pexels-photo-1000029.jpeg?auto=compress&cs=tinysrgb&w=400,"['blue', 'travel', 'bottomwear', 'trousers', 'cool', 'winter']",high,0.48,Forever 21,163.32968290898071,2021
31,31,Mango Formal Shoes 31,Footwear,Formal Shoes,Formal Shoes,Unisex,Black,Fall,Work,https://images.pexels.com/photos/1000030/pexels-photo-1000030.jpeg?auto=compress&cs=tinysrgb&w=400,"['dark', 'neutral', 'fall', 'black', 'formal shoes', 'footwear', 'work']",mid,0.65,Mango,122.64119226072837,2020
32,32,Levi's Briefs 32,Innerwear,Briefs,Briefs,Unisex,Blue,Summer,Party,https://images.pexels.com/photos/1000031/pexels-photo-1000031.jpeg?auto=compress&cs=tinysrgb&w=400,"['blue', 'innerwear', 'cool', 'briefs', 'party', 'summer']",high,0.63,Levi's,190.73999741456302,2020
33,33,Gap Bras 33,Innerwear,Bras,Bras,Men,Purple,Fall,Work,https://images.pexels.com/photos/1000032/pexels-photo-1000032.jpeg?auto=compress&cs=tinysrgb&w=400,"['purple', 'innerwear', 'fall', 'cool', 'work', 'bras']",high,0.57,Gap,199.8979361146993,2021
34,34,Tommy Hilfiger Pajamas 34,Loungewear,Pajamas,Pajamas,Unisex,Brown,Fall,Work,https://images.pexels.com/photos/1000033/pexels-photo-1000033.jpeg?auto=compress&cs=tinysrgb&w=400,"['fall', 'brown', 'pajamas', 'work', 'loungewear']",mid,0.63,Tommy Hilfiger,78.98548109936016,2021
35,35,Calvin Klein Maxi Dress 35,Dress,Maxi Dress,Maxi Dress,Unisex,White,Spring,Sports,https://images.pexels.com/photos/1000034/pexels-photo-1000034.jpeg?auto=compress&cs=tinysrgb&w=400,"['light', 'neutral', 'maxi dress', 'dress', 'sports', 'white', 'spring']",mid,0.51,Calvin Klein,127.83346895270584,2021
36,36,Puma Jackets 36,Topwear,Jackets,Jackets,Women,Green,Spring,Travel,https://images.pexels.com/photos/1000035/pexels-photo-1000035.jpeg?auto=compress&cs=tinysrgb&w=400,"['green', 'travel', 'jackets', 'cool', 'topwear', 'spring']",mid,0.6,Puma,141.5158298837087,2022
37,37,H&M Hoodies 37,Topwear,Hoodies,Hoodies,Unisex,Red,Summer,Casual,https://images.pexels.com/photos/1000036/pexels-photo-1000036.jpeg?auto=compress&cs=tinysrgb&w=400,"['bright', 'hoodies', 'casual', 'topwear', 'warm', 'red', 'summer']",high,1.0,H&M,186.3911272228155,2020
38,38,Zara Bras 38,Innerwear,Bras,Bras,Women,Green,All,Travel,https://images.pexels.com/photos/1000037/pexels-photo-1000037.jpeg?auto=compress&cs=tinysrgb&w=400,"['green', 'travel', 'innerwear', 'cool', 'all', 'bras']",mid,0.72,Zara,125.13948804830083,2022
39,39,Nike Heels 39,Footwear,Heels,Heels,Women,Grey,Summer,Work,https://images.pexels.com/photos/1000038/pexels-photo-1000038.jpeg?auto=compress&cs=tinysrgb&w=400,"['neutral', 'grey', 'work', 'footwear', 'summer', 'heels']",high,1.0,Nike,170.3537910938111,2020
40,40,Adidas Blouses 40,Topwear,Blouses,Blouses,Men,Grey,Winter,Ethnic,https://images.pexels.com/photos/1000039/pexels-photo-1000039.jpeg?auto=compress&cs=tinysrgb&w=400,"['neutral', 'blouses', 'grey', 'topwear', 'winter', 'ethnic']",mid,0.73,Adidas,135.97069864357334,2022
41,41,Uniqlo Jeans 41,Bottomwear,Jeans,Jeans,Men,Pink,Winter,Work,https://images.pexels.com/photos/1000040/pexels-photo-1000040.jpeg?auto=compress&cs=tinysrgb&w=400,"['feminine', 'bottomwear', 'pink', 'warm', 'jeans', 'work', 'winter']",low,0.86,Uniqlo,26.221793627498446,2021
42,42,Forever 21 A-Line Dress 42,Dress,A-Line Dress,A-Line Dress,Unisex,Purple,All,Travel,https://images.pexels.com/photos/1000041/pexels-photo-1000041.jpeg?auto=compress&cs=tinysrgb&w=400,"['a-line dress', 'purple', 'travel', 'cool', 'all', 'dress']",low,0.67,Forever 21,49.31258092033744,2022
43,43,Mango Shirts 43,Topwear,Shirts,Shirts,Men,Blue,Winter,Travel,https://images.pexels.com/photos/1000042/pexels-photo-1000042.jpeg?auto=compress&cs=tinysrgb&w=400,"['shirts', 'blue', 'travel', 'cool', 'topwear', 'winter']",high,0.5,Mango,198.5386685548084,2021
44,44,Levi's Bras 44,Innerwear,Bras,Bras,Unisex,Pink,Spring,Travel,https://images.pexels.com/photos/1000043/pexels-photo-1000043.jpeg?auto=compress&cs=tinysrgb&w=400,"['feminine', 'travel', 'innerwear', 'pink', 'warm', 'bras', 'spring']",high,0.67,Levi's,178.34926344878212,2021
45,45,Gap Bags 45,Accessories,Bags,Bags,Men,Green,Spring,Ethnic,https://images.pexels.com/photos/1000044/pexels-photo-1000044.jpeg?auto=compress&cs=tinysrgb&w=400,"['accessories', 'green', 'cool', 'bags', 'spring', 'ethnic']",low,0.56,Gap,42.96092837921622,2022
46,46,Tommy Hilfiger Casual Dress 46,Dress,Casual Dress,Casual Dress,Men,Brown,All,Sports,https://images.pexels.com/photos/1000045/pexels-photo-1000045.jpeg?auto=compress&cs=tinysrgb&w=400,"['brown', 'all', 'casual dress', 'dress', 'sports']",mid,0.62,Tommy Hilfiger,112.02157751851499,2023
47,47,Calvin Klein Boots 47,Footwear,Boots,Boots,Men,Blue,Winter,Work,https://images.pexels.com/photos/1000046/pexels-photo-1000046.jpeg?auto=compress&cs=tinysrgb&w=400,"['blue', 'boots', 'cool', 'work', 'footwear', 'winter']",mid,0.63,Calvin Klein,71.41218249344134,2021
48,48,Puma Shirts 48,Topwear,Shirts,Shirts,Unisex,Teal,All,Travel,https://images.pexels.com/photos/1000047/pexels-photo-1000047.jpeg?auto=compress&cs=tinysrgb&w=400,"['shirts', 'teal', 'travel', 'topwear', 'all']",mid,0.52,Puma,105.43941013838231,2024
49,49,H&M Mini Dress 49,Dress,Mini Dress,Mini Dress,Men,Beige,Spring,Ethnic,https://images.pexels.com/photos/1000048/pexels-photo-1000048.jpeg?auto=compress&cs=tinysrgb&w=400,"['dress', 'mini dress', 'spring', 'beige', 'ethnic']",high,0.72,H&M,197.87237382831412,2023
50,50,Zara Jackets 50,Topwear,Jackets,Jackets,Unisex,Navy,Summer,Formal,https://images.pexels.com/photos/1000049/pexels-photo-1000049.jpeg?auto=compress&cs=tinysrgb&w=400,"['dark', 'formal', 'blue', 'jackets', 'navy', 'topwear', 'summer']",high,1.0,Zara,174.78163940170478,2022
51,51,Nike Pajamas 51,Loungewear,Pajamas,Pajamas,Women,White,Winter,Travel,https://images.pexels.com/photos/1000050/pexels-photo-1000050.jpeg?auto=compress&cs=tinysrgb&w=400,"['light', 'neutral', 'travel', 'pajamas', 'winter', 'white', 'loungewear']",mid,0.65,Nike,121.64123477415956,2022
52,52,Adidas Casual Dress 52,Dress,Casual Dress,Casual Dress,Women,Beige,Winter,Ethnic,https://images.pexels.com/photos/1000051/pexels-photo-1000051.jpeg?auto=compress&cs=tinysrgb&w=400,"['casual dress', 'dress', 'winter', 'beige', 'ethnic']",low,0.66,Adidas,47.64722442456686,2023
53,53,Uniqlo Mini Dress 53,Dress,Mini Dress,Mini Dress,Women,Beige,Fall,Work,https://images.pexels.com/photos/1000052/pexels-photo-1000052.jpeg?auto=compress&cs=tinysrgb&w=400,"['fall', 'work', 'dress', 'beige', 'mini dress']",mid,0.79,Uniqlo,60.63896945746944,2022
54,54,Forever 21 Blouses 54,Topwear,Blouses,Blouses,Women,Maroon,Fall,Formal,https://images.pexels.com/photos/1000053/pexels-photo-1000053.jpeg?auto=compress&cs=tinysrgb&w=400,"['formal', 'blouses', 'fall', 'topwear', 'maroon']",mid,0.7,Forever 21,136.37124211802274,2020
55,55,Mango Leggings 55,Bottomwear,Leggings,Leggings,Unisex,Green,All,Formal,https://images.pexels.com/photos/1000054/pexels-photo-1000054.jpeg?auto=compress&cs=tinysrgb&w=400,"['formal', 'green', 'bottomwear', 'leggings', 'cool', 'all']",mid,0.69,Mango,137.880705617234,2023
56,56,Levi's Robes 56,Loungewear,Robes,Robes,Unisex,Pink,Winter,Travel,https://images.pexels.com/photos/1000055/pexels-photo-1000055.jpeg?auto=compress&cs=tinysrgb&w=400,"['feminine', 'travel', 'pink', 'warm', 'robes', 'winter', 'loungewear']",low,0.51,Levi's,34.78592417497954,2022
57,57,Gap Camisoles 57,Innerwear,Camisoles,Camisoles,Unisex,Grey,Winter,Work,https://images.pexels.com/photos/1000056/pexels-photo-1000056.jpeg?auto=compress&cs=tinysrgb&w=400,"['neutral', 'grey', 'innerwear', 'camisoles', 'work', 'winter']",mid,0.63,Gap,135.80632753860425,2022
58,58,Tommy Hilfiger Formal Dress 58,Dress,Formal Dress,Formal Dress,Unisex,Yellow,Spring,Ethnic,https://images.pexels.com/photos/1000057/pexels-photo-1000057.jpeg?auto=compress&cs=tinysrgb&w=400,"['formal dress', 'yellow', 'dress', 'spring', 'ethnic']",mid,0.51,Tommy Hilfiger,97.08245634603549,2022
59,59,Calvin Klein Casual Dress 59,Dress,Casual Dress,Casual Dress,Men,Blue,Summer,Casual,https://images.pexels.com/photos/1000058/pexels-photo-1000058.jpeg?auto=compress&cs=tinysrgb&w=400,"['blue', 'casual', 'cool', 'casual dress', 'dress', 'summer']",mid,0.83,Calvin Klein,104.0352149002938,2024
60,60,Puma Scarves 60,Accessories,Scarves,Scarves,Women,Beige,Summer,Sports,https://images.pexels.com/photos/1000059/pexels-photo-1000059.jpeg?auto=compress&cs=tinysrgb&w=400,"['accessories', 'summer', 'scarves', 'sports', 'beige']",mid,0.56,Puma,103.53069306570845,2022
61,61,H&M Jeans 61,Bottomwear,Jeans,Jeans,Men,White,Summer,Party,https://images.pexels.com/photos/1000060/pexels-photo-1000060.jpeg?auto=compress&cs=tinysrgb&w=400,"['light', 'neutral', 'bottomwear', 'summer', 'jeans', 'party', 'white']",mid,0.83,H&M,82.78671971686818,2024
62,62,Zara Bags 62,Accessories,Bags,Bags,Men,Maroon,Summer,Party,https://images.pexels.com/photos/1000061/pexels-photo-1000061.jpeg?auto=compress&cs=tinysrgb&w=400,"['accessories', 'maroon', 'bags', 'party', 'summer']",mid,0.87,Zara,67.04016001900101,2024
63,63,Nike Heels 63,Footwear,Heels,Heels,Unisex,Orange,Fall,Formal,https://images.pexels.com/photos/1000062/pexels-photo-1000062.jpeg?auto=compress&cs=tinysrgb&w=400,"['formal', 'fall', 'orange', 'footwear', 'heels']",mid,0.95,Nike,106.54015675185447,2020
64,64,Adidas Belts 64,Accessories,Belts,Belts,Unisex,Pink,Spring,Work,https://images.pexels.com/photos/1000063/pexels-photo-1000063.jpeg?auto=compress&cs=tinysrgb&w=400,"['accessories', 'feminine', 'belts', 'pink', 'warm', 'work', 'spring']",mid,1.0,Adidas,116.86833091527691,2023
65,65,Uniqlo Camisoles 65,Innerwear,Camisoles,Camisoles,Unisex,Yellow,Winter,Casual,https://images.pexels.com/photos/1000064/pexels-photo-1000064.jpeg?auto=compress&cs=tinysrgb&w=400,"['innerwear', 'camisoles', 'casual', 'yellow', 'winter']",mid,0.78,Uniqlo,89.52369157004395,2024
66,66,Forever 21 Leggings 66,Bottomwear,Leggings,Leggings,Women,Orange,Fall,Party,https://images.pexels.com/photos/1000065/pexels-photo-1000065.jpeg?auto=compress&cs=tinysrgb&w=400,"['bottomwear', 'fall', 'leggings', 'orange', 'party']",mid,0.45,Forever 21,78.32485545876543,2023
67,67,Mango Belts 67,Accessories,Belts,Belts,Women,Grey,Winter,Ethnic,https://images.pexels.com/photos/1000066/pexels-photo-1000066.jpeg?auto=compress&cs=tinysrgb&w=400,"['accessories', 'neutral', 'grey', 'belts', 'winter', 'ethnic']",high,0.51,Mango,177.83886794504076,2021
68,68,Levi's A-Line Dress 68,Dress,A-Line Dress,A-Line Dress,Men,Yellow,Fall,Party,https://images.pexels.com/photos/1000067/pexels-photo-1000067.jpeg?auto=compress&cs=tinysrgb&w=400,"['a-line dress', 'fall', 'yellow', 'dress', 'party']",low,0.42,Levi's,22.231529427316794,2023
69,69,Gap Shapewear 69,Innerwear,Shapewear,Shapewear,Men,Blue,Fall,Ethnic,https://images.pexels.com/photos/1000068/pexels-photo-1000068.jpeg?auto=compress&cs=tinysrgb&w=400,"['blue', 'shapewear', 'innerwear', 'fall', 'cool', 'ethnic']",mid,0.41,Gap,128.83263273758223,2020
70,70,Tommy Hilfiger Formal Shoes 70,Footwear,Formal Shoes,Formal Shoes,Men,Green,All,Ethnic,https://images.pexels.com/photos/1000069/pexels-photo-1000069.jpeg?auto=compress&cs=tinysrgb&w=400,"['green', 'cool', 'formal shoes', 'footwear', 'all', 'ethnic']",mid,0.64,Tommy Hilfiger,86.99391086923316,2022
71,71,Calvin Klein Nightgowns 71,Loungewear,Nightgowns,Nightgowns,Women,Teal,Summer,Sports,https://images.pexels.com/photos/1000070/pexels-photo-1000070.jpeg?auto=compress&cs=tinysrgb&w=400,"['teal', 'loungewear', 'sports', 'summer', 'nightgowns']",high,0.54,Calvin Klein,178.8030391268327,2022
72,72,Puma Leggings 72,Bottomwear,Leggings,Leggings,Women,Maroon,Fall,Party,https://images.pexels.com/photos/1000071/pexels-photo-1000071.jpeg?auto=compress&cs=tinysrgb&w=400,"['bottomwear', 'fall', 'leggings', 'party', 'maroon']",high,0.46,Puma,159.7279656642554,2021
73,73,H&M Heels 73,Footwear,Heels,Heels,Men,Red,Fall,Sports,https://images.pexels.com/photos/1000072/pexels-photo-1000072.jpeg?auto=compress&cs=tinysrgb&w=400,"['bright', 'fall', 'warm', 'red', 'footwear', 'sports', 'heels']",mid,0.64,H&M,133.93042383551364,2021
74,74,Zara Watches 74,Accessories,Watches,Watches,Women,Yellow,Spring,Casual,https://images.pexels.com/photos/1000073/pexels-photo-1000073.jpeg?auto=compress&cs=tinysrgb&w=400,"['accessories', 'casual', 'yellow', 'watches', 'spring']",low,0.86,Zara,38.804263928816454,2021
75,75,Nike Shorts 75,Bottomwear,Shorts,Shorts,Men,Beige,Spring,Travel,https://images.pexels.com/photos/1000074/pexels-photo-1000074.jpeg?auto=compress&cs=tinysrgb&w=400,"['shorts', 'travel', 'bottomwear', 'spring', 'beige']",mid,0.81,Nike,67.81426373860327,2024
76,76,Adidas Briefs 76,Innerwear,Briefs,Briefs,Women,Red,Summer,Work,https://images.pexels.com/photos/1000075/pexels-photo-1000075.jpeg?auto=compress&cs=tinysrgb&w=400,"['bright', 'innerwear', 'warm', 'red', 'briefs', 'work', 'summer']",mid,0.89,Adidas,99.76701759829166,2022
77,77,Uniqlo Jewelry 77,Accessories,Jewelry,Jewelry,Women,Yellow,Winter,Party,https://images.pexels.com/photos/1000076/pexels-photo-1000076.jpeg?auto=compress&cs=tinysrgb&w=400,"['accessories', 'jewelry', 'yellow', 'party', 'winter']",mid,0.77,Uniqlo,60.999983869031915,2020
78,78,Forever 21 Lounge Sets 78,Loungewear,Lounge Sets,Lounge Sets,Women,Purple,Fall,Sports,https://images.pexels.com/photos/1000077/pexels-photo-1000077.jpeg?auto=compress&cs=tinysrgb&w=400,"['purple', 'fall', 'cool', 'lounge sets', 'sports', 'loungewear']",low,0.54,Forever 21,48.350346922357716,2023
79,79,Mango Nightgowns 79,Loungewear,Nightgowns,Nightgowns,Women,Orange,Summer,Formal,https://images.pexels.com/photos/1000078/pexels-photo-1000078.jpeg?auto=compress&cs=tinysrgb&w=400,"['formal', 'orange', 'loungewear', 'summer', 'nightgowns']",high,0.73,Mango,193.9586445398342,2021
80,80,Levi's Watches 80,Accessories,Watches,Watches,Unisex,Purple,Fall,Party,https://images.pexels.com/photos/1000079/pexels-photo-1000079.jpeg?auto=compress&cs=tinysrgb&w=400,"['accessories', 'purple', 'fall', 'cool', 'watches', 'party']",mid,0.43,Levi's,52.72956893158191,2022
81,81,Gap Sneakers 81,Footwear,Sneakers,Sneakers,Unisex,White,Spring,Work,https://images.pexels.com/photos/1000080/pexels-photo-1000080.jpeg?auto=compress&cs=tinysrgb&w=400,"['light', 'neutral', 'sneakers', 'footwear', 'work', 'white', 'spring']",high,0.79,Gap,179.00169963662913,2021
82,82,Tommy Hilfiger Jackets 82,Topwear,Jackets,Jackets,Men,Teal,Fall,Ethnic,https://images.pexels.com/photos/1000081/pexels-photo-1000081.jpeg?auto=compress&cs=tinysrgb&w=400,"['teal', 'jackets', 'fall', 'topwear', 'ethnic']",low,0.46,Tommy Hilfiger,35.913555621544646,2021
83,83,Calvin Klein A-Line Dress 83,Dress,A-Line Dress,A-Line Dress,Unisex,Orange,Fall,Travel,https://images.pexels.com/photos/1000082/pexels-photo-1000082.jpeg?auto=compress&cs=tinysrgb&w=400,"['a-line dress', 'travel', 'fall', 'orange', 'dress']",high,0.57,Calvin Klein,178.90473135408234,2024
84,84,Puma Skirts 84,Bottomwear,Skirts,Skirts,Unisex,Grey,Fall,Travel,https://images.pexels.com/photos/1000083/pexels-photo-1000083.jpeg?auto=compress&cs=tinysrgb&w=400,"['neutral', 'travel', 'grey', 'bottomwear', 'fall', 'skirts']",low,0.53,Puma,37.88157901854682,2020
85,85,H&M Sweaters 85,Topwear,Sweaters,Sweaters,Men,Navy,Winter,Sports,https://images.pexels.com/photos/1000084/pexels-photo-1000084.jpeg?auto=compress&cs=tinysrgb&w=400,"['dark', 'blue', 'topwear', 'navy', 'sweaters', 'winter', 'sports']",low,0.72,H&M,45.35846386494643,2020
86,86,Zara Blouses 86,Topwear,Blouses,Blouses,Unisex,Purple,Summer,Work,https://images.pexels.com/photos/1000085/pexels-photo-1000085.jpeg?auto=compress&cs=tinysrgb&w=400,"['purple', 'blouses', 'cool', 'topwear', 'work', 'summer']",high,0.93,Zara,195.1801556276468,2022
87,87,Nike Flats 87,Footwear,Flats,Flats,Unisex,Navy,Spring,Casual,https://images.pexels.com/photos/1000086/pexels-photo-1000086.jpeg?auto=compress&cs=tinysrgb&w=400,"['dark', 'blue', 'flats', 'navy', 'casual', 'footwear', 'spring']",mid,0.9,Nike,109.157575388732,2021
88,88,Adidas Shapewear 88,Innerwear,Shapewear,Shapewear,Unisex,Black,Fall,Travel,https://images.pexels.com/photos/1000087/pexels-photo-1000087.jpeg?auto=compress&cs=tinysrgb&w=400,"['dark', 'neutral', 'travel', 'shapewear', 'innerwear', 'fall', 'black']",mid,0.69,Adidas,148.31528527974055,2021
